ID	名称	类型	品质	装备说明	初始值	升级成长值	Icom图片路径	海报图片路径	名字图片路径	orderId	套装
112	金色手钩	1	1	纯金打造的海盗手钩，仿若蝎子的尾巴，其尖钩内藏着剧毒，见血封侯。经过进化后能力更强。	180	13.3	equipposter/poster_weapon_jinseshougou.png	equipposter/poster_weapon_jinseshougou.png	equiptex/tex_weapon_jinseshougou.png	153	none
113	黄金手枪	1	1	纯金打造的手枪，除了拥有拉风的造型外，威力也非同小可，是身份与实力的象征。经过进化后能力更强。	173	12.7	equipposter/poster_weapon_huangjinshouqiang.png	equipposter/poster_weapon_huangjinshouqiang.png	equiptex/tex_weapon_huangjinshouqiang.png	155	none
114	黄金棍	1	1	纯金打造的长棍，因其良好的导电性，被艾尼路当做施展天罚的重要武器。经过进化后能力更强。	153	12.6	equipposter/poster_weapon_huangjingun.png	equipposter/poster_weapon_huangjingun.png	equiptex/tex_weapon_huangjingun.png	158	none
115	和道一文字	1	1	大快刀之一，朴素无华，内中却蕴含着无上的杀气，承载着古伊娜与索隆两个人的梦想。经过进化后能力更强。	152	12.4	equipposter/poster_weapon_hedaoyiwenzi.png	equipposter/poster_weapon_hedaoyiwenzi.png	equiptex/tex_weapon_hedaoyiwenzi.png	159	none
116	秋水	1	1	大快刀之一，经过无数次折叠锻打，刀脊厚实而结实，杀伤力极大。经过进化后能力更强。	149	12.3	equipposter/poster_weapon_qiushui.png	equipposter/poster_weapon_qiushui.png	equiptex/tex_weapon_qiushui.png	161	none
117	雪走	1	1	良快刀之一，狭长锋利，刀身弧度小，是索隆早期使用的佩刀之一。经过进化后能力更强。	146	11.5	equipposter/poster_weapon_xuezou.png	equipposter/poster_weapon_xuezou.png	equiptex/tex_weapon_xuezou.png	162	none
118	花洲	1	1	良快刀之一，刀身有像火焰般的纹路，锋利无比。经过进化后能力更强。	146	9.7	equipposter/poster_weapon_huazhou.png	equipposter/poster_weapon_huazhou.png	equiptex/tex_weapon_huazhou.png	163	none
119	狙击火枪	1	1	长筒狙击火枪，配有瞄准镜，在很远的距离也可以准确定位敌人。经过进化后能力更强。	143	9.6	equipposter/poster_weapon_jujihuoqiang.png	equipposter/poster_weapon_jujihuoqiang.png	equiptex/tex_weapon_jujihuoqiang.png	164	none
120	天候棒	1	1	乌索普为娜美制造的武器。三截式长棍，可进行不同的组合，释放出多种天候技能。经过进化后能力更强。	137	9.6	equipposter/poster_weapon_tianhoubang.png	equipposter/poster_weapon_tianhoubang.png	equiptex/tex_weapon_tianhoubang.png	165	none
121	拐杖剑	1	1	长的很像紫色的拐杖，实则为西洋剑的一种。剑刃细长成圆锥状，适合突刺。经过进化后能力更强。	135	9.4	equipposter/poster_weapon_guaizhangjian.png	equipposter/poster_weapon_guaizhangjian.png	equiptex/tex_weapon_guaizhangjian.png	166	none
122	黑兜	1	1	绿色的巨型弹弓，比普通弹弓准确性和攻击强度都有大幅度提升，射程也更远。经过进化后能力更强。	134	7.6	equipposter/poster_weapon_heidou.png	equipposter/poster_weapon_heidou.png	equiptex/tex_weapon_heidou.png	167	none
123	花剑	1	1	剑身横断面为矩形，护手盘小，典型的突刺型击剑。经过进化后能力更强。	126	7.5	equipposter/poster_weapon_huajian.png	equipposter/poster_weapon_huajian.png	equiptex/tex_weapon_huajian.png	168	none
124	十字战甲	2	5	胸前刻有十字的神圣战甲，传说接受了神明的祝福，而拥有无比强大的防御力。经过进化后能力更强。	168	13.2	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	96	none
125	火烈鸟大氅	2	5	使用上千火烈鸟羽毛编织而成的大氅，柔软舒适，华贵无比。经过进化后能力更强。	149	12.1	equipposter/poster_clothes_huolieniaodachang.png	equipposter/poster_clothes_huolieniaodachang.png	equiptex/tex_clothes_huolieniaodachang.png	102	none
126	战神头盔	2	5	传说中巨人信仰的战神所戴的头盔，被赋予了无尽的勇气和不屈意志。经过进化后能力更强。	152	11.8	equipposter/poster_clothes_zhanshentoukui.png	equipposter/poster_clothes_zhanshentoukui.png	equiptex/tex_clothes_zhanshentoukui.png	100	none
127	统治者披风	2	5	上位统治者专属的披风，系上之后威风凛凛，尽显王者之风。经过进化后能力更强。	147	11.7	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	104	none
128	玫瑰战甲	2	5	粉色的战甲，上面镂刻着朵朵盛开的玫瑰，美艳绝伦。经过进化后能力更强。	150	11.7	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	101	none
129	黄金甲	2	1	纯金打造的全身战甲，熠熠生辉，且防御力不俗。但沉重笨拙的缺点也十分明显。经过进化后能力更强。	95	7	equipposter/poster_clothes_huangjinjia.png	equipposter/poster_clothes_huangjinjia.png	equiptex/tex_clothes_huangjinjia.png	140	none
130	恶魔斗篷	2	1	恶魔穿着的斗篷，每时每刻都透露着一股诡异邪魅的气息。经过进化后能力更强。	93	6.7	equipposter/poster_clothes_emodoupeng.png	equipposter/poster_clothes_emodoupeng.png	equiptex/tex_clothes_emodoupeng.png	141	none
131	公爵帽	2	1	公爵们经常佩戴的帽子，黑色宽严，插有天鹅羽毛，柔软舒适。经过进化后能力更强。	90	6.4	equipposter/poster_clothes_gongjuemao.png	equipposter/poster_clothes_gongjuemao.png	equiptex/tex_clothes_gongjuemao.png	142	none
132	正义大氅	2	1	海军将领穿着的大氅，在背后写着正义两个大字。经过进化后能力更强。	89	6.1	equipposter/poster_clothes_zhengyidachang.png	equipposter/poster_clothes_zhengyidachang.png	equiptex/tex_clothes_zhengyidachang.png	143	none
133	贵族披风	2	1	贵族常用的披风，柔软轻盈，顺滑无比。经过进化后能力更强。	83	6.1	equipposter/poster_clothes_guizupifeng.png	equipposter/poster_clothes_guizupifeng.png	equiptex/tex_clothes_guizupifeng.png	144	none
134	天空骑士	2	1	空岛骑士所戴的头盔，两侧有羽翼状的装饰，十分容易辨认。经过进化后能力更强。	81	6	equipposter/poster_clothes_tiankongqishi.png	equipposter/poster_clothes_tiankongqishi.png	equiptex/tex_clothes_tiankongqishi.png	145	none
135	吸血鬼斗篷	2	1	传闻是吸血鬼们常穿的斗篷，尖领圆围，质地似皮，穿上后仿若蝙蝠。经过进化后能力更强。	75	5.8	equipposter/poster_clothes_xixueguidoupeng.png	equipposter/poster_clothes_xixueguidoupeng.png	equiptex/tex_clothes_xixueguidoupeng.png	146	none
136	船长帽	2	1	海贼船长们才有资格戴的帽子，往往在中间有骷髅刺绣。经过进化后能力更强。	69	5.4	equipposter/poster_clothes_chuangzhangmao.png	equipposter/poster_clothes_chuangzhangmao.png	equiptex/tex_clothes_chuangzhangmao.png	147	none
137	命运流火	3	5	不知名的材料制作而成，仿佛一团火焰在水晶中流动，充满着命运的神秘感。经过进化后能力更强。	510	40.3	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png	89	none
138	死亡诱惑	3	5	骷髅状的挂饰，直视它空洞的双瞳，就会沉入死亡的阴影之中，只有意志坚强者才能佩戴。经过进化后能力更强。	488	35.7	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	90	none
139	十字挂饰	3	5	十字型的华丽挂饰，上面镶嵌着宝石，熠熠生辉，充斥着神圣而高贵的气息。经过进化后能力更强。	465	35.1	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	91	none
140	深海之眼	3	5	银色的戒指上，镶嵌着深蓝色的巨大宝石，仿佛海神之眼，幽蓝而深邃。经过进化后能力更强。	450	34.9	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	92	none
141	诱惑之瞳	3	5	金色的戒指上镶嵌着巨大的紫色宝石，神秘妖冶，充满诱惑。经过进化后能力更强。	435	34.2	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	93	none
142	贵族项链	3	1	贵族们佩戴的项链，做工精细，华贵无比。经过进化后能力更强。	294	22.9	equipposter/poster_jewelry_guizuxianglian.png	equipposter/poster_jewelry_guizuxianglian.png	equiptex/tex_jewelry_guizuxianglian.png	127	none
143	飞翔之翼	3	1	戒指的环扣处设计了羽翼一般的造型，仿若展翅欲飞，故而得名。经过进化后能力更强。	294	22.9	equipposter/poster_jewelry_feixiangzhiyi.png	equipposter/poster_jewelry_feixiangzhiyi.png	equiptex/tex_jewelry_feixiangzhiyi.png	128	none
144	骷髅项链	3	1	骷髅造型的项链，海贼们最喜欢佩戴的首饰之一。经过进化后能力更强。	300	22.3	equipposter/poster_jewelry_kulouxianglian.png	equipposter/poster_jewelry_kulouxianglian.png	equiptex/tex_jewelry_kulouxianglian.png	123	none
145	勾玉转轮	3	1	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。经过进化后能力更强。	297	20.7	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	126	none
146	金蛇耳环	3	1	纯金打造的蛇形耳环，曲线优美，妖娆动人。经过进化后能力更强。	300	20.4	equipposter/poster_jewelry_jinsheerhuan.png	equipposter/poster_jewelry_jinsheerhuan.png	equiptex/tex_jewelry_jinsheerhuan.png	124	none
147	兽骨挂饰	3	1	凶兽骨头所制的挂饰，象征着佩戴者的无上勇气与狂野战力。经过进化后能力更强。	300	20.2	equipposter/poster_jewelry_shouguguashi.png	equipposter/poster_jewelry_shouguguashi.png	equiptex/tex_jewelry_shouguguashi.png	125	none
148	金戒指	3	1	纯金打造的戒指，价格高昂，有钱有势的人才会佩戴。经过进化后能力更强。	306	19.6	equipposter/poster_jewelry_jinjiezhi.png	equipposter/poster_jewelry_jinjiezhi.png	equiptex/tex_jewelry_jinjiezhi.png	121	none
149	金耳环	3	1	纯金打造的耳环，价格高昂，有钱有势的人才会佩戴。经过进化后能力更强。	294	19.5	equipposter/poster_jewelry_jinerhuan.png	equipposter/poster_jewelry_jinerhuan.png	equiptex/tex_jewelry_jinerhuan.png	129	none
150	霸海	1	5	外表看上去极其普通的弯刀，据说只有被认可的海上霸者，才能发挥其蕴含着的神秘力量。经过进化后能力更强。	330	23.7	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	107	none
151	海皇三叉戟	1	5	据传为海皇所用的三叉戟神器，既能掀起狂暴的海浪，也能召唤海兽为其效力。经过进化后能力更强。	293	21.3	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	109	none
152	海神羽织	2	5	被海神祝福过的羽衣，如丝带一般，轻盈飘逸。经过进化后能力更强。	161	13.8	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	98	none
153	王者战衣	2	5	据传是海贼王穿过的大衣，华丽高贵，充满王者霸气。经过进化后能力更强。	165	14.2	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	97	none
154	海洋之心	3	5	鲜艳深蓝色的透明钻石，光芒四射的外表下隐藏着充满厄运与不幸的历史。经过进化后能力更强。	546	43.6	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	87	none
155	狗头帽	2	5	由海王皮制成，海军大将和中将的标志性装扮，海蕴含着神秘的力量，海军最高实力的象征。经过进化后能力更强。	158	13.8	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	99	none
156	护目镜	2	5	本身是用来保护眼睛不被强光刺激，但是在萨博身上貌似仅仅成为了一个装饰品。经过进化后能力更强。	149	13.5	equipposter/poster_clothes_humujing.png	equipposter/poster_clothes_humujing.png	equipposter/poster_clothes_humujing.png	103	none
157	英雄勋章	3	5	前海军元帅，现全军统帅空吾立下赫赫战功，由世界政府最高层亲自颁发给英雄的荣誉的象征。经过进化后能力更强。	540	43.9	equipposter/poster_jewelry_zongshuaixunzhang.png	equipposter/poster_jewelry_zongshuaixunzhang.png	equiptex/tex_jewelry_zongshuaixunzhang.png	88	none
158	十字剑	1	5	乱纹钢刃，十字护手，剑下败者数不胜数，不败传说居鲁士的佩剑。经过进化后能力更强。	285	21.4	equipposter/poster_weapon_jingjichangtiejian.png	equipposter/poster_weapon_jingjichangtiejian.png	equiptex/tex_weapon_jingjichangtiejian.png	110	none
159	血色战斧	1	5	沾满了邪恶海盗的鲜血，曾经是赏金猎人们最喜爱的武器。经过进化后能力更强。	225	15.7	equipposter/poster_weapon_zhanfu.png	equipposter/poster_weapon_zhanfu.png	equiptex/tex_jewelry_zhanfu.png	115	none
160	神罚[SS]	1	5	传说中的灭世神兵，其恐怖的力量犹如天神的惩罚，令人闻风生畏，被拆成碎片封存在世界的各个角落。经过进化后能力更强。	1600	580.7	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	105	none
161	神域[SS]	2	5	传说中的守护神所赐予，抵御一切伤害之物，此物不知材质，被化为碎片供奉在世界各地。经过进化后能力更强。	1375	519.8	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	94	none
162	神恩[SS]	3	5	传说中神之配饰，拥有无限生机，可医死人肉白骨，哪怕沾上一丝气息，也能强身壮体，健步如飞，由于天地巨变被打破，其碎片也不知所踪。经过进化后能力更强。	2900	752.2	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	85	none
163	天·命运流火	3	5	经上古天王结晶熔炼而成的命运流火，穿戴2件以上天王套装将触发天王套装效果。	612	48.4	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png	12	1,2
164	海·命运流火	3	5	经上古海王结晶熔炼而成的命运流火，穿戴2件以上海王套装将触发海王套装效果。	612	48.4	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png	11	3,4
165	冥·命运流火	3	5	经上古冥王结晶熔炼而成的命运流火，穿戴2件以上冥王套装将触发冥王套装效果。	612	48.4	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png	10	5,6
166	天·死亡诱惑	3	5	经上古天王结晶熔炼而成的死亡诱惑，穿戴2件以上天王套装将触发天王套装效果。	585	42.8	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	15	1,2
167	海·死亡诱惑	3	5	经上古海王结晶熔炼而成的死亡诱惑，穿戴2件以上海王套装将触发海王套装效果。	585	42.8	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	14	3,4
168	冥·死亡诱惑	3	5	经上古冥王结晶熔炼而成的死亡诱惑，穿戴2件以上冥王套装将触发冥王套装效果。	585	42.8	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	13	5,6
169	天·十字挂饰	3	5	经上古天王结晶熔炼而成的十字挂饰，穿戴2件以上天王套装将触发天王套装效果。	558	42.1	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	18	1,2
170	海·十字挂饰	3	5	经上古海王结晶熔炼而成的十字挂饰，穿戴2件以上海王套装将触发海王套装效果。	558	42.1	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	17	3,4
171	冥·十字挂饰	3	5	经上古冥王结晶熔炼而成的十字挂饰，穿戴2件以上冥王套装将触发冥王套装效果。	558	42.1	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	16	5,6
172	天·深海之眼	3	5	经上古天王结晶熔炼而成的深海之眼，穿戴2件以上天王套装将触发天王套装效果。	540	41.9	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	21	1,2
173	海·深海之眼	3	5	经上古海王结晶熔炼而成的深海之眼，穿戴2件以上海王套装将触发海王套装效果。	540	41.9	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	20	3,4
